,Country Code,Year,GDP per capita
442,NLD,2017,48675.22234
443,NOR,2017,75496.75406
444,NPL,2017,1048.453755
445,NRU,2017,10339.38548
446,NZL,2017,42924.9956
447,OED,2017,37377.57018
448,OMN,2017,17329.18546
449,OSS,2017,13215.42974
450,PAK,2017,1631.531909
451,PAN,2017,15146.40851
452,PER,2017,6710.507602
453,PHL,2017,3123.245642
454,PLW,2017,16019.98989
455,PNG,2017,2695.249009
456,POL,2017,13864.68176
457,PRE,2017,1446.507196
458,PRI,2017,31108.76057
459,PRK,2017,
460,PRT,2017,21490.42986
461,PRY,2017,5678.869972
462,PSE,2017,3620.360487
463,PSS,2017,4222.557375
464,PST,2017,42995.85935
465,PYF,2017,21127.06433
466,QAT,2017,59124.86727
467,ROU,2017,10807.00917
468,RUS,2017,10720.33301
469,RWA,2017,772.2948846
470,SAS,2017,1911.329754
471,SAU,2017,20802.46179
472,SDN,2017,3178.314209
473,SEN,2017,1361.701972
474,SGP,2017,61150.7272
475,SLB,2017,2332.898555
476,SLE,2017,496.6822949
477,SLV,2017,3910.254403
478,SMR,2017,45399.02898
479,SOM,2017,384.4634014
480,SRB,2017,6292.543629
481,SSA,2017,1621.632341
482,SSD,2017,
483,SSF,2017,1622.982614
484,SST,2017,12064.64049
485,STP,2017,1813.807434
486,SUR,2017,6295.560562
487,SVK,2017,17538.04858
488,SVN,2017,23514.02546
489,SWE,2017,53791.50873
490,SWZ,2017,3914.418484
491,SXM,2017,29369.05683
492,SYC,2017,16416.72607
493,SYR,2017,955.836559
494,TCA,2017,27545.12879
495,TCD,2017,665.9488849
496,TEA,2017,7238.969962
497,TEC,2017,8562.533645
498,TGO,2017,830.7452767
499,THA,2017,6593.818352
500,TJK,2017,848.6723799
501,TKM,2017,6587.092604
502,TLA,2017,9037.781171
503,TLS,2017,1299.494635
504,TMN,2017,3867.06706
505,TON,2017,4513.432531
506,TSA,2017,1911.329754
507,TSS,2017,1622.982614
508,TTO,2017,16747.9067
509,TUN,2017,3687.780316
510,TUR,2017,10589.66772
511,TUV,2017,3978.676452
512,TZA,2017,1004.906616
513,UGA,2017,746.8307529
514,UKR,2017,2638.326172
515,UMC,2017,8834.526226
516,URY,2017,18690.89384
517,USA,2017,59914.7778
518,UZB,2017,1916.764642
519,VCT,2017,7717.846546
520,VEN,2017,
521,VGB,2017,
522,VIR,2017,35365.0693
523,VNM,2017,2974.117229
524,VUT,2017,3082.540055
525,WLD,2017,10825.90237
526,WSM,2017,4258.978675
527,XKX,2017,4009.380987
528,YEM,2017,964.3403436
529,ZAF,2017,6690.939847
530,ZMB,2017,1535.196574
531,ZWE,2017,1235.189032
532,ABW,2018,30253.71423
533,AFE,2018,1541.031661
534,AFG,2018,485.6684187
535,AFW,2018,1704.135698
536,AGO,2018,2524.942483
537,ALB,2018,5287.663694
538,AND,2018,41793.31884
539,ARB,2018,6635.381394
540,ARE,2018,43839.32449
541,ARG,2018,11795.15939
542,ARM,2018,4220.540321
543,ASM,2018,11521.60978
544,ATG,2018,16679.59166
545,AUS,2018,57180.7794
546,AUT,2018,51486.5755
547,AZE,2018,4739.84171
548,BDI,2018,238.0343096
549,BEL,2018,47549.20805
